Cidade,Categoria,Nome,Rating,Endereço,Tipos,Latitude_Nova,Longitude_Nova,Total_Reviews_Novo
Arouca,bar,Casa FC Porto Arouca,3.7,"Largo Dom Sancho I, 4540-150 Arouca, Portugal","bar, point_of_interest, establishment",,,
Arouca,tourist_attraction,Associação Geoparque Arouca (AGA),4.6,"R. Alfredo Vaz Pinto, 4540-118 Arouca, Portugal","tourist_attraction, travel_agency, point_of_interest, establishment",,,
Arouca,tourist_attraction,Arte Sacra de Arouca Museum,4.5,"Largo Santa Mafalda, 4540-101 Arouca, Portugal","museum, tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Rotunda das Trilobites,4.5,"4540-105 Arouca, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Filão de quartzo de Cabaços,4.8,"Cabaços, Arouca, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Parque do Milénio,4.2,"R. Alferes Diogo Malafaia, 4540-117 Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,tourist_attraction,O baloiço de Moldes - Arouca,4.6,Portugal,"tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Museu Municipal de Arouca,4.7,"Arouca, Portugal","tourist_attraction, museum, point_of_interest, establishment",,,
Arouca,tourist_attraction,Drave,4.7,"VV6M+F4, Arouca, Portugal","point_of_interest, establishment",,,
Arouca,tourist_attraction,Parque de Arouca,4.7,"Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,tourist_attraction,Interpretation Center Pedras Parideiras,4.3,"CM1237, Portugal","tourist_attraction, travel_agency, point_of_interest, establishment",,,
Arouca,tourist_attraction,516 Arouca Bridge,4.4,"Areinho, 4540-257 Arouca, Portugal","point_of_interest, establishment",,,
Arouca,tourist_attraction,Parque Municipal de Arouca,4.4,"Av. 25 de Abril 34, 4540-102 Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,tourist_attraction,516 Arouca suspension bridge,4.7,"XR8G+HW, Alvarenga, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Scenic spot Frecha da Mizarela,4.7,"Mizarela, 4540 Arouca, Portugal","point_of_interest, establishment",,,
Arouca,tourist_attraction,Pelourinho de Arouca,4.5,"4540-121 Arouca, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Panorâmica do Detrelo da Malhada,4.7,"Moldes, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Passadiços do Paiva Trailhead (Areinho),4.7,"Estr. do Areinho, Portugal","tourist_attraction, park, point_of_interest, establishment",,,
Arouca,tourist_attraction,Museu das Trilobites,4.5,"4540-252 Canelas, Portugal","museum, tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Ponte 516 (Canelas - Arouca) - NaTour Way Tours,4.4,"4540-251 Arouca, Portugal","point_of_interest, establishment",,,
Arouca,tourist_attraction,Aguieiras Waterfalls,4.6,"Alvarenga, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,tourist_attraction,Loja interativa de Turismo do Arouca Geopark,4.4,"R. Abel Botelho 4, 4540-102 Arouca, Portugal","travel_agency, point_of_interest, establishment",,,
Arouca,cafe,Café Portela,4.6,"Moldes, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Alpha confectionery 5,4.4,"R. António Almeida Brandão 2, 4540-119 Arouca, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Café Arouquense,4.3,"Av. 25 de Abril, 4540-102 Arouca, Portugal","cafe, restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Casa dos Doces Conventuais de Arouca - Autêntica,4.7,"Av. 25 de Abril 24, 4540-102 Arouca, Portugal","bakery, store, food, point_of_interest, establishment",,,
Arouca,cafe,Centro Tropical,4.2,"R. Dom João I, Arouca, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Cafetaria Crystal,4.6,"Av. 25 de Abril nº1004, Arouca, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Confeitaria Rainha 3,4.3,"Alameda Dom Domingos de Pinho Brandão nº8, 4540-101 Arouca, Portugal","bakery, store, restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Café Buggy,4.4,"R. Abel Botelho 5, 4540-102 Arouca, Portugal","meal_takeaway, restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,SNACK-BAR RODRIGO,4.7,"EM511, 4540-209 Arouca, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Tasquinha da Quinta,4.6,"R. 1º de Maio 3, 4540-121 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Casa Testinha,4.5,"R. 1º de Maio 4, 4540-113 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Café Santo António,4.2,"4540-551 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Loja dos Doces Conventuais de Arouca,4.8,"Av. Reinaldo Noronha 12, 4540-105 Arouca, Portugal","cafe, store, food, point_of_interest, establishment",,,
Arouca,cafe,Café Brazil,4.4,"EM506 40, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Pedestre 142,4.4,"R. Dr. Ângelo Miranda 142 RC, 4540-140 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Tasquinho do Parque,4.5,"R. Dom Afonso Henriques 57 4540, Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Bakery Village II,4.4,"Av. 25 de Abril, 4540-102 Arouca, Portugal","cafe, store, food, point_of_interest, establishment",,,
Arouca,cafe,Café São João,4.3,"486 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Princesa 1,4.2,"R. Dom Afonso Henriques Nº 21, 4540-128 Arouca, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Doces Conventuais de Arouca,4.8,"Pç Brandão de Vasconcelos, 4540-118 Arouca, Portugal","bakery, store, food, point_of_interest, establishment",,,
Arouca,cafe,A Assembleia,4.5,"Tv. da Ribeira 11, 4540-102 Arouca, Portugal","restaurant, bar, food, point_of_interest, establishment",,,
Arouca,cafe,Noitesbrancas Lounge Bar,4.3,"R. Alferes Diogo Malafaia n3b, 4540-117 Arouca, Portugal","bar, point_of_interest, establishment",,,
Arouca,cafe,Manjar de Arouca,3.7,"Av. 25 de Abril 40, 4540-103 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Café Rocha,4.5,"Arouca, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,BARBELHOAROUCA,4.6,"Areeiro, 4540-515 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Alto da Estrada,4.1,"Alto da Estrada, 4540-202 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Paiva à Vista,4.3,"Vilarinho - Canelas, 4540-257 Arouca, Portugal","restaurant, cafe, food, point_of_interest, establishment",,,
Arouca,cafe,Parlamento,4.6,"Tv. da Ribeira 2, 4540-148 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Pão de Ló de Arouca,4.6,"Av. 25 de Abril, S/n Cimo do, N326 80, 4540-204 Arouca, Portugal","store, food, point_of_interest, establishment",,,
Arouca,cafe,Casa no Campo,4.7,"4540-431 Espinheiro, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Varandinha,4.4,"Av. Reinaldo Noronha 39, 4540-181 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Taberna da Toita,4.7,"Cruz da Toita, 4540-528 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Café Montanha,4.4,"R. António Rodrigues, 4540-281, Portugal","cafe, store, food, point_of_interest, establishment",,,
Arouca,cafe,Casa dos Bifes Silva,4.4,"Lugar do Paço Alvarenga, 4540-046 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Sabores da serra,4.1,"Av. 25 de Abril, 4540-102 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Café Lanterna,4.4,"Rossas, Portugal","cafe, food, point_of_interest, establishment",,,
Arouca,cafe,RESTAURANTE LAREIRA,4.4,"N326, Burgo, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Casa do Areinho,4.8,"Praia Fluvial do Areinho, 4540-257 Arouca, Portugal","restaurant, bar, food, point_of_interest, establishment",,,
Arouca,cafe,Café Arouca,4.2,"R. Cimo da Vila 7, 4480-777 Vila do Conde, Portugal","meal_takeaway, restaurant, food, point_of_interest, establishment",,,
Arouca,cafe,Abadessa Restaurante e Petiscos,5.0,"R. Dr. Coelho da Rocha 8A, 4540-121 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,church,Igreja do Mosteiro de Santa Maria de Arouca,4.7,"Av. 25 de Abril 16, 4540-101 Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Arte Sacra de Arouca Museum,4.5,"Largo Santa Mafalda, 4540-101 Arouca, Portugal","museum, tourist_attraction, point_of_interest, establishment",,,
Arouca,church,Chapel of Mercy,4.8,"Pç Brandão de Vasconcelos, 4540-101 Arouca, Portugal","tourist_attraction, church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Santa Casa da Misericórdia de Arouca,4.2,"R. Dr. António Casimiro Leão Pimentel 4 4540, Arouca, Portugal","local_government_office, church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Igreja Evangélica Betel Arouca,5.0,"R. das Calçadas 192, 4540-171 Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela de Santo António,4.8,"Largo Santo António 2, 4540-144 Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Chapel of Santa Luzia,4.3,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela da Senhora da Mó,4.6,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Comunidade Cristã A Semente - Arouca,5.0,"R. Dr. Ângelo Miranda 177, 4540-104 Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,St. Peter Chapel,3.4,"R. de São Pedro, Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Igreja de Arouca,,"R. do Pedregal 4540, 4540-551, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela de Nossa Senhora do Carmo,4.0,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela de Santiago,4.4,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Ermida de Santo António,3.5,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela de São João Baptista (Costeiras),4.5,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela de S. Lázaro,4.4,"Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Igreja Paroquial de Santo Estevão,4.4,"Moldes, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Salão do Reino das Testemunhas de Jeová,5.0,"R. 1º de Maio 12, 4540-121 Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,church,Capela de Pade,,"Pade, 4540, Arouca, Portugal","church, place_of_worship, point_of_interest, establishment",,,
Arouca,park,Associação Geoparque Arouca (AGA),4.6,"R. Alfredo Vaz Pinto, 4540-118 Arouca, Portugal","tourist_attraction, travel_agency, point_of_interest, establishment",,,
Arouca,park,Parque Municipal de Arouca,4.4,"Av. 25 de Abril 34, 4540-102 Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Parque de Arouca,4.7,"Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Parque do Milénio,4.2,"R. Alferes Diogo Malafaia, 4540-117 Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Parque de ribes(Arouca),4.6,"R. Sub-Ribes 4540, Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Praça Brandão de Vasconcelos,4.6,"4540-121 Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Memorial Com Vida,4.6,"Arouca, Portugal","tourist_attraction, point_of_interest, establishment",,,
Arouca,park,Parque de Lazer da Granja (Parque de merendas / convívio),4.0,"Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Parque do Gaio (parque de lazer e de merendas),4.0,"Mata, Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Parque de Caravanas/Autocaravanas - Arouca,4.4,"R. Eça de Queirós, 4540-128 Arouca, Portugal","rv_park, lodging, point_of_interest, establishment",,,
Arouca,park,Ecovia do Arda,4.6,"Burgo, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Parque Urbano de Alhavaite,4.6,"Av. Vasco da Gama, Burgo, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Passadiços do Paiva Trailhead (Areinho),4.7,"Estr. do Areinho, Portugal","tourist_attraction, park, point_of_interest, establishment",,,
Arouca,park,Parque Infantil,4.5,"Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Passadiços do Paiva Trailhead (Espiunca),4.8,"Espiunca, Arouca, Portugal","park, point_of_interest, establishment",,,
Arouca,park,Entrance Arouca 516 bridge,4.6,"XR6F+7VP, Alvarenga, Portugal","tourist_attraction, park, point_of_interest, establishment",,,
Arouca,park,Marco Geodésico São Pedro Velho,4.7,"São Pedro Velho, Albergaria da Serra e Cabreiros, Arouca, Portugal","park, point_of_interest, establishment",,,
