Cidade,Categoria,Nome_Local,Autor,Texto,Data,Rating
Arouca,restaurante,Casa no Campo,Christine Boyle,"What a gem. The restaurant was suggested by the Visit Arouca site and is definitely worth the mention.  The location (beautiful view), service and food are exceptional. We had the steak (apparently one of the best in Portugal, it is their house speciality and a pork skewer. Ordered the 1/2 portions which were huge. You could most definitely share one.  Remembering this gem if back in the area",3 weeks ago,5
Arouca,restaurante,Casa no Campo,André Martins,"A Must go.
Fantastic  food, service and friendly staff who were very welcoming. This could only be topped with an breathtaking view of the surrounding mountains.
You have good drive to get there which will make your meal 5x more rewarding.
Consider booking in advance and ordering in advance as there are dishes that take some time to prepare.",2 years ago,5
Arouca,restaurante,Casa no Campo,Melissa Baughn,"We had both the carne and the porco. Both were delicious. This was our first visit, but next time we are coming to the Arouca area we will plan to call several days in advance to reserve the roast goat. Looking forward to it. We recommend you visit Casa no Campo for both the food and the views.",9 months ago,5
Arouca,restaurante,Casa no Campo,Gillian Lowe,"The most delicious steak and very tender, perfectly cooked to our liking. Also a great view, we recommend a visit.",9 months ago,5
Arouca,restaurante,Casa no Campo,Markus Poessenberger,"This is northern Portugal. History, tradition, food, wine and everything paired with a breathtaking view.
Settled in the middle of a thousand years old houses somewhere nowhere.
It was a privilege to visit a place like this where modernity is paired with traditional architecture.
The food was all made from scratch. Homemade smoked sausages, awesome prosciutto and cheese. Meat was super tasty and the bacalhao cooked to perfection. Don't get me wrong: this is not a michelin star place but it's food that's cooked under the laws of old traditions and with wisdom and good taste. And also: try to eat the less possible before going there and keep space in your belly. And on top of it all we paid 100 EUR including TWO bottles of wine for 3 persons all together.
Thanks to all the team for this great experience. I hope I will be back very soon!",a year ago,5
Arouca,restaurante,Pão de Ló de Arouca,Agnese Gavare,"Very nice experience, tasty food. They made sangria from scracht, it was delicous.
Service was 10/10 - kind and helpful employees. :) I recommend this place.",11 months ago,5
Arouca,restaurante,Pão de Ló de Arouca,Sharath Bandi,This place is awesome. Trendy and traditional. Most importantly they have washroom. Traditional sweets here are good. But they are way more sugary than they appear. They have nice artifacts. Nice place to stop and hangout when you are driving through.,6 years ago,5
Arouca,restaurante,Pão de Ló de Arouca,Cristiano Silva,"A very nice and refined place, it had a great service.",2 years ago,5
Arouca,restaurante,Pão de Ló de Arouca,Alberto Costa,Top!,6 months ago,5
Arouca,restaurante,Pão de Ló de Arouca,Jiu Jitsu Master Caique,Very nice place with great ambience,5 years ago,5
Arouca,restaurante,Café Arouquense,Cyprian Gomes,"A beautiful place to eat. The staffs are so friendly and caring, and the foods are so delicious. Last but not least, the price… it’s truly reasonable. If I was living local, I would be visiting this place regularly.",8 months ago,5
Arouca,restaurante,Café Arouquense,Anahid Saberi,"One of the best steaks we have had ever (and I live in Texas) large portions and wonderful sangria.
Happy, helpful kind staff.",a year ago,5
Arouca,restaurante,Café Arouquense,Ihor Radivilov,Very very polite service staff. We love it! And of course delicious Portuguese food.,9 months ago,5
Arouca,restaurante,Café Arouquense,Mokasx,"The best you can get, the true north of Portugal treatment. Delicious ""posta"" steak, half portion is enough for two.",a year ago,5
Arouca,restaurante,Café Arouquense,Marjo Raipio,Very good food and service even with a full house.,8 months ago,5
Arouca,restaurante,Abadessa Restaurante e Petiscos,Fernando Nahat Jardim,"Great food and service, felt like home!",a month ago,5
Arouca,restaurante,Abadessa Restaurante e Petiscos,Lisa Sullivan,A fun authentic spot on our 516 bridge tour.   Excellent food!   Great wine!    Perfect service!   Highly recommend.,10 months ago,5
Arouca,restaurante,Abadessa Restaurante e Petiscos,Alexandra F (Alex),"AMAZING food. Wonderful potatos, meat, and bread. So thankful I stopped by.",10 months ago,5
Arouca,restaurante,Abadessa Restaurante e Petiscos,Frank White,Awesome,4 months ago,5
Arouca,restaurante,Abadessa Restaurante e Petiscos,Brenda Tsunoda,"Comida maravilhosa, ambiente aconchegante e equipe muito simpática! Espero voltar!",a week ago,5
Arouca,restaurante,O Júlio,Jørgen Thyme,Out in the middle of no where this restaurant just popped up. Monday 1PM and the place was almost full. Portuguese eat and drink everyday 😉,a year ago,5
Arouca,restaurante,O Júlio,Tiago Canha,"I have been eating here every year for the past 4 years and I can say that I am amazed at the level of quality of the food, the quantity of food which is served and the splendid professionals shown at work here, it is a real pleasure eating here, if you are looking to try the authentic portuguese food you should not miss this place. I would honestly give it 6 stars if I could, really good vibes. They have amazing outdoor space too, lots of parking but be careful you should get very early either for lunch 12am or dinner 7pm or you risk waiting for many minutes for a table as everybody wants to eat here, YES is that famous!!!",2 years ago,5
Arouca,restaurante,O Júlio,Neeraj Sega,Good very,a year ago,5
Arouca,restaurante,O Júlio,Elizabeth Afanstein,Mold in the toilet and bleach scent everywhere else.,6 years ago,1
Arouca,restaurante,O Júlio,Manuel Vilaça,Fantastic food!,7 years ago,5
Arouca,restaurante,Churrascaria Central,Antonio Sequeira de Almeida,Good food.Nice people.Somehow noisy due the football match that will take place later.,a year ago,5
Arouca,restaurante,Churrascaria Central,António Gestosa,Boa comida. Bem confeccionada. O proprietário foi muito simpático e bastante amigável. Recomendo o bife à Alvarenga. Top.,8 months ago,5
Arouca,restaurante,Churrascaria Central,Hermano Rocha,"Para além da excelente comida, temos a simpatia dos seus funcionários, 7 estrelas. Parabéns.",a year ago,4
Arouca,restaurante,Churrascaria Central,Elisa Ferreira,Simpatia e profissionalismo da funcionária Mariana excepcional aliado à comida muito bem confeccionada.,8 months ago,5
Arouca,restaurante,Churrascaria Central,Yaiza Areces González,"The dish I ate was very complete with potatoes, fried egg, rice, lettuce, tomato and two steaks. The bread was very delicious and they gave us two types (one of them was corn). Both steaks were difficult to chew. (Photo from July 2023)",a year ago,3
Arouca,restaurante,O Mineiro de Regoufe,Joao Pires,"Great lunch with a group of friends. Wonderful food, amazing sights and great service. Make sure you book before you go and enjoy the warm welcome of D. Fatima and the rest of staff. Outstanding price/quality/experience value.",a year ago,5
Arouca,restaurante,O Mineiro de Regoufe,Rori Alvarez,"We were lucky it was open for lunch when we passed by. We didn’t have reservations but they were able to accommodate us. Food was great from appetizer (mix of cheese, jamon & bread), main dish of grilled meat, and homemade dessert sort of creme brule fusion with custard, bread & nuts. The best part came with the bill, only €12.50 per person for everything! After coffee, you get a bonus of “hot water” or aguardente. Beware, that drink is damn strong!

Lastly, the guy spoke English which made our communication a breeze!",6 years ago,5
Arouca,restaurante,O Mineiro de Regoufe,Luis Afonso,"Amazing place, tasty food, wonderful people. Reserve first before go.",a year ago,5
Arouca,restaurante,O Mineiro de Regoufe,Cristina Sousa,"Comida caseira, fabulosamente bem feita e no final o preço ainda é em conta. Encontra-se em local remoto, mas que vale a pena pela beleza do percurso e da paisagem do local do restaurante.",a year ago,5
Arouca,restaurante,O Mineiro de Regoufe,צחי גולן Tsahi Golan,"Nice restaurant, unfortunately when we arrived it was full and there was no room (you should make a reservation in advance).",a year ago,4
Arouca,restaurante,Manjar de Arouca,Roya MJ,"I ordered bread and the grilled lamb. I ordered the bread knowing the lamb was going ti take some time. I also orgot they don’t serve butter, just have to ask.

I liked the variety of breads and the lamb was flavorful. It came with rice and fries. Have to say it was a lot of food. One of the two pieces of lamb was a bit tough, luckily I started with that one.

It’s a nice sized and locally popular restaurant so they do get busy. Fortunately I went between meals so was able to walk right in.",a year ago,4
Arouca,restaurante,Manjar de Arouca,S K,"The harsh reviews are odd. The wait time wasn’t that bad, and the food had great portions. This place has great value food as it was really good and wasn’t that expensive. We enjoyed our meal a lot and the servers were really kind.",2 years ago,5
Arouca,restaurante,Manjar de Arouca,Edgar Domingues,They charged more than the price listed in the menu. Besides that the food is acceptable and the service was fine.,a year ago,1
Arouca,restaurante,Manjar de Arouca,João Martins,"Good food, medium speed service",5 years ago,4
Arouca,restaurante,Manjar de Arouca,Pauline Stevenson,Food ok... it was so cold inside needed to keep our coats on.,7 years ago,3
Arouca,restaurante,Sabores da serra,Tina Schnell,Really kind staff and delicious olives!,2 years ago,5
Arouca,restaurante,Sabores da serra,Jose Pinho,Local que é recomendado.. é pena haver pessoas k só se queixam quando não têm mais nada para dizer.. gostava de visitar a casa dessas pessoas k criticam.. enfim..,2 years ago,5
Arouca,restaurante,Sabores da serra,Isabel Ferreira,"Mais de 2h à espera, já não havia arroz nem salada, nem guardanapos puseram na mesa. Local a não voltar.",2 years ago,1
Arouca,restaurante,Sabores da serra,Tiago Santos,Ótimos petiscos e staff impecável... lugar de paragem obrigatória...,2 years ago,5
Arouca,restaurante,Sabores da serra,Carla Silva,Lugar excelente para comer uns belos petiscos a acompanhar de um tinto aconchegante. Bom e barato,6 years ago,5
Arouca,restaurante,Casa dos Bifes Silva,Max Braun,"We had a nice experience with excellent veal meat typical for the region, from the oven and grilled. Very very good!
The staff was nice and english speaking, portions more than enough and prices fair. Nice tables to sit outside in the afternoon sun. They have WiFi but the credit card machine was not working at the moment.",2 years ago,5
Arouca,restaurante,Casa dos Bifes Silva,sashadirani,"Very friendly staff, the food was absolutely delicious, especially the meat (their specialty), and the location is just beautiful. We paid very little for a plate of beef, rice, salad, 2 deserts, 2 1/2 pichet of wine, 2 coffees.",a year ago,5
Arouca,restaurante,Casa dos Bifes Silva,Michal Kolar,"Very strange experience for a place that is in such a touristy destination. We went there on Tue in Aug, still high season I would say, and the place was almost empty. The truth is that this was one of the few places actually serving anything that evening. The interior is very unwelcoming, so we asked to sit outside. None of the waiters spoke any English. They had 4 main dishes on the menu, but 'forced' us into Alvarenga steak, as we kind of understood they had nothing else. Then he brought out some starters without us ordering them. The Alvarenga steak itself was in parts not done at all and bit chewy. Generally the food was really mediocre. On positive side, the service was fast, house wine was decent and the prices are very reasonable. But still I would expect much more professional and customer oriented service.",a year ago,2
Arouca,restaurante,Casa dos Bifes Silva,Inês Matos,This restaurant served one of the best steaks I had in my life.,3 years ago,5
Arouca,restaurante,Casa dos Bifes Silva,Falicite Mejia,"Came here after our hike. It was super close to “passadiços da paiva”, so decided to stop in. Beautiful atmosphere, attentive staff and food was delicious. 3 of us shared the fries, beef and soft rice platter, with refreshing wine. Please stop if your in the area and dine in!!!!",a year ago,5
Arouca,restaurante,Confeitaria Rainha 3,Bia Silva,"Bakery great as always. I've been going to this place since I was a kid. Unfortunately, the middle age man that served us was extremely rude and made us feel as if we were a pain as customers for ordering food. Apparently they don't have straws either according to this same person. What a shame.",2 years ago,3
Arouca,restaurante,Confeitaria Rainha 3,James Anderson,Yummy bakery and friendly staff. I'm not a huge cake person but the bread is fantastic here so enjoy 😊,4 years ago,5
Arouca,restaurante,Confeitaria Rainha 3,João Martins,"Every ""Rainha"" (1 through 4) is good, with the best homemade pastry in the region, and cheap too. Get the Meia-lua",8 years ago,5
Arouca,restaurante,Confeitaria Rainha 3,Jose MR,Good place to stop and take some food and drink. Near a nice plaza.,8 years ago,4
Arouca,restaurante,Confeitaria Rainha 3,Gonçalo Dias,I,10 years ago,5
Arouca,restaurante,RESTAURANTE LAREIRA,Antonio Brandao,Top,5 years ago,5
Arouca,restaurante,RESTAURANTE LAREIRA,cris aragao,"o restaurante por fora passa despercebido mas o espaço interior é agradável, a comida é muito boa,boa carne e acompanhamento.Boas sobremesas.
Funcionária muito atenciosa e simpática.",8 months ago,4
Arouca,restaurante,RESTAURANTE LAREIRA,Paulo Manuel,"Um local impecável, comida boa😎
Posta muito boa e o bacalhau na brasa muito bom😎",4 months ago,5
Arouca,restaurante,RESTAURANTE LAREIRA,Ivan Andrade,"Fomos super bem atendidos, a senhora que nos serviu era super simpática. Chegamos cedo, foi-nos servido um salpicão, umas manteigas, azeitonas e um cesto de pão, tudo perfeito.
Para comer, uns camarões, que estavam viciantes, muito bons. Batatinhas fritas caseiras com os camarões e seu molho por cima, excelente combinação. Só não gostei do tempero da salada.",a year ago,5
Arouca,restaurante,RESTAURANTE LAREIRA,Madalena Morales,"Comida maravilhosa, recomendo muito massa a lavrador, bem confeccionada, adoramos👌",6 months ago,5
Arouca,restaurante,Restaurante Passadiços do Paiva,Ian Obwar,"Great service, and the was food tasty 😋. Good pit, stop on a walk. Locals are lovely.",6 months ago,5
Arouca,restaurante,Restaurante Passadiços do Paiva,Sunset Chant,"Found this place on Google maps to have breakfast and coffee before the bridge, but found a note saying it is closed. Should have marked it on Google maps as temporarily closed as well.",6 months ago,1
Arouca,restaurante,Restaurante Passadiços do Paiva,Moumita Sasmal,"A small place to eat , not much of options to choose. If you like steak then another place to try out. Coffee is good and we enjoyed coffee every time we passed by.",a year ago,3
Arouca,restaurante,Restaurante Passadiços do Paiva,Annick,"Cheese and bread as a starter, main course very tender quality steak, rice and chips, dessert of the house. Very tasty! From the outside it looks like a pub, but at the back there is a cosy restaurant. Very fast and friendly service. Family atmosphere. We like this place a lot. Also very clean.",2 years ago,5
Arouca,restaurante,Restaurante Passadiços do Paiva,Guo Yunjie,Good meat,7 months ago,5
Arouca,restaurante,BARBELHOAROUCA,Eveline Coppes,"I loved this restaurant. Very friendly and quick staff. Good food, great selection. Children's menu available.

The outside sitting area is very nice with an ingenious cooling system made of nebulous water to cool down. Very clever!",2 years ago,5
Arouca,restaurante,BARBELHOAROUCA,Ken Weary,A really nice dining experience. Everything was very tasty and the service was friendly.,3 years ago,4
Arouca,restaurante,BARBELHOAROUCA,Evaldas Paliliunas,Stopped for lunch driving by. This is nice place with some traditional food. Looks quite popular.,2 years ago,5
Arouca,restaurante,BARBELHOAROUCA,Beryl Hutton,Food here was really good. Very nice surroundings.,2 years ago,4
Arouca,restaurante,BARBELHOAROUCA,Nat F,"It was nice. Good food, nice decor, pleasant atmosphere and friendly staff. Would come again if in the area.",2 years ago,5
Arouca,restaurante,Café Portela,Kerttu Toompalu,"Absolutely amazing. Food very fresh and tasty, service fast and friendly. Best breakfast so far.",2 years ago,5
Arouca,restaurante,Café Portela,Candice Jones,"Early visit for quick coffee...great service, excellent coffee.",3 years ago,5
Arouca,restaurante,Café Portela,Pinaki Ghosh,It's tiny place with delicious food,a year ago,5
Arouca,restaurante,Café Portela,Mikele Singh,"Super rude, nothing on offer to eat.",2 years ago,1
Arouca,restaurante,Café Portela,Helder Silva,Only place for a coffee nearby. Not bad,6 years ago,3
Arouca,restaurante,Requinte do Paiva,Hedvika Marie Černá,"FAKE REVIEWS, HORRIBLE EXPERIENCE. After our experience at this place where we were served probably some of the worst food in our lives we were very surprised how is it possible this place has such high reviews. This confusion was cleared out when the staff of this establishment added three five star reviews to cover our one star (maybe don’t have your picture in google profile if you are goong to rate your own place, pathetic). Probably most of these reviews are completely fake judging on how they are written. HORRIBLE food, the meat smelled FOUL, they charged me more than was stated price in the menu and wanted to argue with me that the higher price is written on a different menu. Stay away.",5 months ago,1
Arouca,restaurante,Requinte do Paiva,N G (NG),"In this area you can't find much good places to dinner eat but this place is really good and our portion of meat for 17€ was for 2 people even too much. Pizzas for kids was normal size. They are open all day that is quite comfortable.
Next to start or end of Passadiços do Paiva so good place to stay orvernight and visit this restaurant.",a year ago,5
Arouca,restaurante,Requinte do Paiva,Moheimen Mohomed Jleil,"A beautiful restaurant with a wonderful view in the heart of nature, with excellent service, and all of this at very reasonable or low prices. I highly recommend it",9 months ago,5
Arouca,restaurante,Requinte do Paiva,Mel W,"Nice, clean, friendly place out in the countryside.
Refreshing salads and by the looks quite nice pizzas and baguettes and cakes or tarts.
Friendly staff and a nice end point for a walk in the Portuguese countryside.

The selection is robust and good, anyone with general eating habits should be able to find a good meal. Vegetarian and vegan might need the help of the friendly staff.

Wheelchair accessible toilet and place for changing kids available. Parking also very good.",7 months ago,5
Arouca,restaurante,Requinte do Paiva,Joop,Nice place for quick bite and cold drink after a long walk @ Priva walkway and 516 Arouca suspension bridge.,11 months ago,5
Arouca,restaurante,Zé Mota,Leung,"THE best steak I’ve had on the trip. Incredibly juicy, tender, and well-seasoned. We were also pleasantly surprised by the appetizers presented to us! A very satisfying lunch and at an affordable price too.",7 months ago,5
Arouca,restaurante,Zé Mota,Joop,"Recommended by our hotel nearby and we had a lovely dinner.

Grilled steak🥩 was excellent, we should have ordered 1 dose 😍.

We had only 1 night at this town otherwise we would have visited for another dinner.

We speak English, seemed to me that only 1 staff was able to communicate. Feel a bit inattentive.",11 months ago,5
Arouca,restaurante,Zé Mota,Alexander Lelebin,The food was extremely good!,5 months ago,5
